"Name"
"FileAndStorage-Services"
"Storage-Services"
"Web-Server"
"Web-WebServer"
"Web-Common-Http"
"Web-Default-Doc"
"Web-Dir-Browsing"
"Web-Http-Errors"
"Web-Static-Content"
"Web-Health"
"Web-Http-Logging"
"Web-Log-Libraries"
"Web-Request-Monitor"
"Web-Performance"
"Web-Stat-Compression"
"Web-Dyn-Compression"
"Web-Security"
"Web-Filtering"
"Web-Basic-Auth"
"Web-Client-Auth"
"Web-Digest-Auth"
"Web-Cert-Auth"
"Web-IP-Security"
"Web-Url-Auth"
"Web-Windows-Auth"
"Web-App-Dev"
"Web-Net-Ext45"
"Web-Asp-Net45"
"Web-ISAPI-Ext"
"Web-ISAPI-Filter"
"Web-Mgmt-Tools"
"Web-Mgmt-Console"
"Web-Mgmt-Compat"
"Web-Metabase"
"Web-Scripting-Tools"
"NET-Framework-Features"
"NET-Framework-Core"
"NET-Framework-45-Features"
"NET-Framework-45-Core"
"NET-Framework-45-ASPNET"
"NET-WCF-Services45"
"NET-WCF-TCP-PortSharing45"
"RDC"
"FS-SMB1"
"Telnet-Client"
"Windows-Identity-Foundation"
"PowerShellRoot"
"PowerShell"
"PowerShell-V2"
"PowerShell-ISE"
"WoW64-Support"
